ID,OD,Wall Thickness,Length,Shell Failure,Buckling
1,1.059055118,0.75,0.2,2114,11418
1,1.059055118,0.75,0.4,2114,4585
1,1.059055118,0.75,0.6,2114,2894
1,1.059055118,0.75,0.8,2114,2057
1,1.059055118,0.75,1,2114,1636
1,1.059055118,0.75,1.2,2114,1431
1,1.059055118,0.75,1.4,2114,1153
1,1.059055118,0.75,1.8,2114,868
1,1.059055118,0.75,4,2114,378
1,1.059055118,0.75,8,2114,285
1,1.059055118,0.75,15,2114,277
1,1.078740157,1,1,2787,3510
1,1.078740157,1,2,2787,1732
1,1.078740157,1,5,2787,707
1,1.078740157,1,10,2787,642
1,1.078740157,1,15,2787,635
1,1.098425197,1.25,0.2,3449,43169
1,1.098425197,1.25,0.4,3449,16779
1,1.098425197,1.25,0.6,3449,10147
1,1.098425197,1.25,0.8,3449,7582
1,1.098425197,1.25,1,3449,5849
1,1.098425197,1.25,1.2,3449,4665
1,1.098425197,1.25,1.4,3449,3998
1,1.098425197,1.25,1.8,3449,3354
1,1.098425197,1.25,2.2,3449,2766
1,1.098425197,1.25,2.6,3449,2118
1,1.098425197,1.25,3,3449,1777
1,1.098425197,1.25,6,3449,1265
1,1.098425197,1.25,10,3449,1216
1,1.098425197,1.25,20,3449,1203
1,1.118110236,1.5,0.5,3675,19791
1,1.118110236,1.5,0.7,3675,13777
1,1.118110236,1.5,0.9,3675,10192
1,1.118110236,1.5,1,3675,8933
1,1.118110236,1.5,1.2,3675,7318
1,1.118110236,1.5,1.5,3675,6090
1,1.118110236,1.5,2,3675,4734
1,1.118110236,1.5,2.5,3675,3384
1,1.118110236,1.5,3,3675,2787
1,1.118110236,1.5,4,3675,2330
1,1.118110236,1.5,8,3675,2059
1,1.118110236,1.5,15,3675,2024
1,1.118110236,1.5,30,3675,2016
1,1.137795276,1.75,0.5,4175,29054
1,1.137795276,1.75,0.75,4175,18301
1,1.137795276,1.75,1,4175,12923
1,1.137795276,1.75,2,4175,6527
1,1.137795276,1.75,3,4175,4111
1,1.137795276,1.75,4,4175,3529
1,1.137795276,1.75,5,4175,3329
1,1.137795276,1.75,6,4175,3241
1,1.157480315,2,0.75,4649,24780
1,1.157480315,2,1,4649,17881
1,1.157480315,2,2,4649,8716
1,1.157480315,2,3,4649,5779
1,1.157480315,2,4,4649,5054
1,1.157480315,2,5,4649,4797
1,1.157480315,2,6,4649,4683
1,1.157480315,2,8,4649,4588
1,1.196850394,2.5,1,5523,30828
1,1.196850394,2.5,3,5523,10226
1,1.196850394,2.5,5,5523,8756
1,1.196850394,2.5,7,5523,8474
1,1.196850394,2.5,9,5523,8377
1,1.196850394,2.5,15,5523,8293
1,1.236220472,3,1,6312,47769
1,1.236220472,3,5,6312,14135
1,1.236220472,3,10,6312,13519
1,1.236220472,3,15,6312,13426
1,1.236220472,3,20,6312,13396
1,1.275590551,3.5,1,7028,68556
1,1.275590551,3.5,20,7028,19916
1,1.275590551,3.5,40,7028,19872
1,1.31496063,4,1,7678,90503
1,1.31496063,4,40,7678,27721
1,1.354330709,4.5,1,8271,112430
1,1.354330709,4.5,40,8271,36805
