ID,OD,Wall Thickness,Length,Shell Failure
0.940944882,1,0.75,1,2243
0.921259843,1,1,1,3015
0.901574803,1,1.25,1,3440
0.881889764,1,1.5,1,4079
0.862204724,1,1.75,1,4703
0.842519685,1,2,1,5311
0.803149606,1,2.5,1,6480
0.763779528,1,3,1,7588
0.724409449,1,3.5,1,8635
0.68503937,1,4,1,9623
0.645669291,1,4.5,1,10552
0.606299213,1,5,1,11422
0.566929134,1,5.5,1,12235
0.527559055,1,6,1,12991
0.488188976,1,6.5,1,13690
0.448818898,1,7,1,14333
0.409448819,1,7.5,1,14921
0.291338583,1,9,1,16355
0.212598425,1,10,1,17039
